,network,station,NOP,RMSE_RF,ubRMSE_RF,r_RF,LC,Climate,RMSE_cci,ubRMSE_cci,r_cci
MAQU_NST-06.csv,MAQU,NST-06,,0.051843583900438646,0.04369264397048991,0.7815492366981713,10.0,Dwc,0.04856834824418604,0.04838121425704155,0.7817205135827556
MAQU_NST-07.csv,MAQU,NST-07,,0.034768377567241604,0.03240616777340059,0.9292343227754072,130.0,Dwc,0.10996550225665871,0.05972561374202419,0.7226971025542342
MAQU_NST-09.csv,MAQU,NST-09,,0.07387455222326174,0.05723069505210799,0.6680304292377184,40.0,Dwc,0.11356269209158434,0.042709728248356914,0.8961045354023115
MAQU_NST-10.csv,MAQU,NST-10,,0.056791814026681105,0.05550020609859009,0.5347848337893646,40.0,Dwc,0.08201217911597597,0.053310100149219004,0.5928945293773691
MAQU_NST-11.csv,MAQU,NST-11,,0.11224016445607987,0.045426120122157014,0.7771201453031542,10.0,Dwc,0.20213838501303993,0.05128634994882973,0.4001079930734625
MAQU_NST-12.csv,MAQU,NST-12,,0.09965321615017186,0.06152497483905264,0.7096789768785571,10.0,Dwc,0.07679005855634384,0.056923205430605694,0.8220389715447859
MAQU_NST-13.csv,MAQU,NST-13,,0.04638612974311462,0.045829575507666684,0.49083229093757824,10.0,ET,0.09738338039485926,0.031638434549631854,0.7397953205822402
MAQU_NST-14.csv,MAQU,NST-14,,0.0741281179312118,0.0741276209998755,0.19119954395744643,10.0,Dwc,0.16920225404955005,0.0503582061881183,0.5771690650251886
MOL-RAO_Falkenberg.csv,MOL-RAO,Falkenberg,,0.055532245848432214,0.052199788670536984,0.631869970718769,10.0,Dfb,0.11138931047408451,0.0571988695883713,0.5641277888260888
MOL-RAO_Kehrigk.csv,MOL-RAO,Kehrigk,,0.040596037580558325,0.03657068876569796,0.5250721294323762,70.0,Dfb,0.1845681443693464,0.03476879102889335,0.5149874130645756
ORACLE_BOISSY.csv,ORACLE,BOISSY,,0.06360497329683897,0.05961145215686103,0.7506121041201341,190.0,Cfb,0.08887112129388369,0.06948548760091894,0.6893551019381658
ORACLE_SUIZY.csv,ORACLE,SUIZY,,0.08753554682729178,0.0563431153235643,0.43740305974851923,10.0,Cfb,0.061848778250881115,0.05498705119852463,0.3709810938517542
ORACLE_VOULTON.csv,ORACLE,VOULTON,,0.08176071123154623,0.07963409526383304,0.6284300603548747,10.0,Cfb,0.0865186305709011,0.08642028609637947,0.581677058561346
OZNET_Alabama.csv,OZNET,Alabama,,0.06877465567464089,0.06815682459924657,0.6898518329010997,120.0,Cfa,0.08341238400311227,0.0685288877074325,0.7299587353894881
OZNET_Balranald-Bolton-Park.csv,OZNET,Balranald-Bolton-Park,,0.047207859563623424,0.04037626260077367,0.49522429459586986,10.0,BSk,0.10505943724326162,0.03128027641717369,0.500704629779957
OZNET_Banandra.csv,OZNET,Banandra,,0.054530126769783756,0.04908096205839723,0.8008069910243633,30.0,BSk,0.05294671128756673,0.052308928171402154,0.7934699729536292
OZNET_Benwerrin.csv,OZNET,Benwerrin,,0.06848971854775272,0.06660009943639235,0.5555116496246383,120.0,Cfa,0.09518161876791432,0.0484495672166543,0.8329380544463074
OZNET_Bundure.csv,OZNET,Bundure,,0.07436161463822662,0.05841961462475534,0.721054735147253,30.0,BSk,0.13724138825810678,0.06367764024291571,0.6780566492125778
